      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est    Seed  HarvestPrescribed    LU_ch   Slow_h       NEE
  -121.06    38.81    1996  -0.253   0.025   0.246   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01908
  -121.06    38.81    1997  -0.187   0.019   0.224   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.05604
  -121.06    38.81    1998  -0.354   0.035   0.218   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10098
  -121.06    38.81    1999  -0.188   0.019   0.210   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.04068
  -121.06    38.81    2000  -0.208   0.021   0.232   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04468
  -121.06    38.81    2001  -0.194   0.019   0.230   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05558
  -121.06    38.81    2002  -0.216   0.022   0.218   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.02367
  -121.06    38.81    2003  -0.235   0.024   0.213   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00089
  -121.06    38.81    2004  -0.156   0.016   0.263   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.11978
  -121.06    38.81    2005  -0.289   0.029   0.257   0.000  -0.106   0.000    0.000     0.000    0.000    0.000  -0.10949
  -121.06    38.81    2006  -0.293   0.030   0.221   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04174
  -121.06    38.81    2007  -0.254   0.025   0.252   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02345
  -121.06    38.81    2008  -0.165   0.017   0.221   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07336
  -121.06    38.81    2009  -0.239   0.024   0.240   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.02490
  -121.06    38.81    2010  -0.354   0.035   0.235   0.000  -0.003   0.000    0.000     0.000    0.000    0.000  -0.08622
  -121.06    38.81    2011  -0.396   0.040   0.234   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.12224
  -121.06    38.81    2012  -0.146   0.015   0.246   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.11461
  -121.06    38.81    2013  -0.164   0.016   0.292   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.14454
  -121.06    38.81    2014  -0.116   0.012   0.309   0.000  -0.109   0.000    0.000     0.000    0.000    0.000   0.09567
  -121.06    38.81    2015  -0.194   0.021   0.251   0.000  -0.111   0.000    0.000     0.000    0.000    0.000  -0.03373
  -121.06    38.81    2016  -0.321   0.033   0.274   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01453
  -121.06    38.81    2017  -0.427   0.043   0.279   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10525
  -121.06    38.81    2018  -0.355   0.035   0.299   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.02016
  -121.06    38.81    2019  -0.328   0.033   0.301   0.000  -0.112   0.000    0.000     0.000    0.000    0.000  -0.10577
  -121.06    38.81    2020  -0.148   0.017   0.260   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.12964
  -121.06    38.81    2021  -0.208   0.021   0.288   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.10185
  -121.06    38.77    1979  -0.267   0.027   0.248   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00722
  -121.06    38.77    1980  -0.338   0.034   0.227   0.000  -0.009   0.000    0.000     0.000    0.000    0.000  -0.08579
  -121.06    38.77    1981  -0.163   0.016   0.225   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07811
  -121.06    38.77    1982  -0.330   0.033   0.247   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05022
  -121.06    38.77    1983  -0.311   0.031   0.220   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05989
  -121.06    38.77    1984  -0.274   0.027   0.237   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00964
  -121.06    38.77    1985  -0.265   0.026   0.243   0.270  -0.000   0.000    0.000     0.000    0.000    0.000   0.27328
  -121.06    38.77    1986  -0.289   0.029   0.268   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00767
  -121.06    38.77    1987  -0.169   0.018   0.240   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.08884
  -121.06    38.77    1988  -0.182   0.019   0.252   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08882
  -121.06    38.77    1989  -0.293   0.029   0.274   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01022
  -121.06    38.77    1990  -0.199   0.020   0.332   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.15362
  -121.06    38.77    1991  -0.213   0.021   0.258   0.000  -0.107   0.000    0.000     0.000    0.000    0.000  -0.04143
  -121.06    38.77    1992  -0.229   0.024   0.246   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04104
  -121.06    38.77    1993  -0.359   0.036   0.295   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.02925
  -121.06    38.77    1994  -0.232   0.023   0.286   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07740
  -121.06    38.77    1995  -0.266   0.027   0.300   0.000  -0.102   0.000    0.000     0.000    0.000    0.000  -0.04128
  -121.06    38.77    1996  -0.291   0.030   0.282   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02024
  -121.06    38.77    1997  -0.341   0.034   0.295   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.01237
  -121.06    38.77    1998  -0.359   0.036   0.280   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04333
  -121.06    38.77    1999  -0.365   0.037   0.271   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05781
  -121.06    38.77    2000  -0.308   0.031   0.285   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00767
  -121.06    38.77    2001  -0.226   0.023   0.273   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06967
  -121.06    38.77    2002  -0.280   0.028   0.269   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01659
  -121.06    38.77    2003  -0.267   0.027   0.274   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03312
  -121.06    38.77    2004  -0.241   0.024   0.239   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02194
  -121.06    38.77    2005  -0.298   0.030   0.273   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00466
  -121.06    38.77    2006  -0.285   0.028   0.262   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00572
  -121.06    38.77    2007  -0.279   0.028   0.231   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.01973
  -121.06    38.77    2008  -0.090   0.011   0.202   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.12227
  -121.06    38.77    2009  -0.242   0.024   0.232   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01390
  -121.06    38.77    2010  -0.365   0.036   0.244   0.000  -0.004   0.000    0.000     0.000    0.000    0.000  -0.08767
  -121.06    38.77    2011  -0.347   0.035   0.247   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.06534
  -121.06    38.77    2012  -0.220   0.022   0.319   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.12073
  -121.06    38.77    2013  -0.192   0.019   0.255   0.000  -0.112   0.000    0.000     0.000    0.000    0.000  -0.03062
  -121.06    38.77    2014  -0.264   0.028   0.238   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00255
  -121.06    38.77    2015  -0.318   0.032   0.281   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00498
  -121.06    38.77    2016  -0.340   0.034   0.275   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03105
  -121.06    38.77    2017  -0.349   0.035   0.273   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04103
  -121.06    38.77    2018  -0.306   0.031   0.260   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01591
  -121.06    38.77    2019  -0.322   0.032   0.258   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03199
  -121.06    38.77    2020  -0.128   0.013   0.289   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.17494
  -121.06    38.77    2021  -0.104   0.011   0.257   0.000  -0.110   0.000    0.000     0.000    0.000    0.000   0.05383
  -121.06    38.73    1979  -0.179   0.018   0.250   0.000  -0.105   0.000    0.000     0.000    0.000    0.000  -0.01546
  -121.06    38.73    1980  -0.334   0.034   0.180   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.11987
  -121.06    38.73    1981  -0.206   0.021   0.244   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05868
  -121.06    38.73    1982  -0.385   0.039   0.246   0.000  -0.007   0.000    0.000     0.000    0.000    0.000  -0.10769
  -121.06    38.73    1983  -0.367   0.037   0.215   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.11581
  -121.06    38.73    1984  -0.251   0.025   0.232   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.00513
  -121.06    38.73    1985  -0.213   0.021   0.226   0.336  -0.000   0.000    0.000     0.000    0.000    0.000   0.37007
  -121.06    38.73    1986  -0.267   0.027   0.231   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00926
  -121.06    38.73    1987  -0.086   0.010   0.234   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.15818
  -121.06    38.73    1988  -0.116   0.012   0.246   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.14167
  -121.06    38.73    1989  -0.274   0.027   0.241   0.000  -0.008   0.000    0.000     0.000    0.000    0.000  -0.01435
  -121.06    38.73    1990  -0.203   0.020   0.215   0.000  -0.040   0.000    0.000     0.000    0.000    0.000  -0.00735
  -121.06    38.73    1991  -0.223   0.022   0.231   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02949
  -121.06    38.73    1992  -0.150   0.015   0.215   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08002
  -121.06    38.73    1993  -0.217   0.022   0.250   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.05328
  -121.06    38.73    1994  -0.117   0.011   0.221   0.024  -0.104   0.000    0.000     0.000    0.000    0.000   0.03580
  -121.06    38.73    1995  -0.270   0.028   0.207   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.03596
  -121.06    38.73    1996  -0.302   0.030   0.248   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.02322
  -121.06    38.73    1997  -0.215   0.022   0.223   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03039
  -121.06    38.73    1998  -0.312   0.031   0.256   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.02426
  -121.06    38.73    1999  -0.153   0.015   0.236   0.000  -0.110   0.000    0.000     0.000    0.000    0.000  -0.01167
  -121.06    38.73    2000  -0.220   0.023   0.226   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02882
  -121.06    38.73    2001  -0.232   0.023   0.248   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03870
  -121.06    38.73    2002  -0.208   0.021   0.259   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.07218
