      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est    Seed  HarvestPrescribed    LU_ch   Slow_h       NEE
  -121.11    38.73    1981  -0.141   0.014   0.159   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03236
  -121.11    38.73    1982  -0.312   0.031   0.162   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.11862
  -121.11    38.73    1983  -0.342   0.034   0.159   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.14849
  -121.11    38.73    1984  -0.108   0.011   0.168   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07073
  -121.11    38.73    1985  -0.128   0.013   0.191   0.159  -0.001   0.000    0.000     0.000    0.000    0.000   0.23369
  -121.11    38.73    1986  -0.199   0.020   0.221   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.04114
  -121.11    38.73    1987  -0.062   0.006   0.202   0.000  -0.079   0.000    0.000     0.000    0.000    0.000   0.06778
  -121.11    38.73    1988  -0.099   0.010   0.197   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.10665
  -121.11    38.73    1989  -0.227   0.023   0.212   0.000  -0.005   0.000    0.000     0.000    0.000    0.000   0.00306
  -121.11    38.73    1990  -0.193   0.019   0.195   0.000  -0.005   0.000    0.000     0.000    0.000    0.000   0.01589
  -121.11    38.73    1991  -0.199   0.020   0.187   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00808
  -121.11    38.73    1992  -0.110   0.011   0.225   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.12571
  -121.11    38.73    1993  -0.156   0.016   0.186   0.000  -0.066   0.000    0.000     0.000    0.000    0.000  -0.02131
  -121.11    38.73    1994  -0.133   0.013   0.160   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04051
  -121.11    38.73    1995  -0.168   0.017   0.184   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.03285
  -121.11    38.73    1996  -0.195   0.019   0.183   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00818
  -121.11    38.73    1997  -0.166   0.017   0.169   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01902
  -121.11    38.73    1998  -0.327   0.033   0.157   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.13911
  -121.11    38.73    1999  -0.154   0.015   0.156   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01713
  -121.11    38.73    2000  -0.145   0.014   0.173   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04240
  -121.11    38.73    2001  -0.133   0.013   0.168   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04804
  -121.11    38.73    2002  -0.152   0.015   0.158   0.000  -0.003   0.000    0.000     0.000    0.000    0.000   0.01902
  -121.11    38.73    2003  -0.142   0.014   0.155   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02686
  -121.11    38.73    2004  -0.080   0.008   0.155   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.08105
  -121.11    38.73    2005  -0.328   0.033   0.156   0.000  -0.003   0.000    0.000     0.000    0.000    0.000  -0.14297
  -121.11    38.73    2006  -0.204   0.020   0.144   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03945
  -121.11    38.73    2007  -0.080   0.008   0.146   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.07427
  -121.11    38.73    2008  -0.025   0.003   0.147   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.12246
  -121.11    38.73    2009  -0.135   0.014   0.150   0.000  -0.004   0.000    0.000     0.000    0.000    0.000   0.02483
  -121.11    38.73    2010  -0.303   0.030   0.131   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.14171
  -121.11    38.73    2011  -0.325   0.032   0.129   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.16331
  -121.11    38.73    2012  -0.094   0.009   0.143   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05826
  -121.11    38.73    2013  -0.129   0.013   0.150   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.03386
  -121.11    38.73    2014  -0.109   0.011   0.151   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05281
  -121.11    38.73    2015  -0.143   0.014   0.143   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.01240
  -121.11    38.73    2016  -0.149   0.015   0.136   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00187
  -121.11    38.73    2017  -0.338   0.034   0.134   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.17000
  -121.11    38.73    2018  -0.179   0.018   0.130   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.03166
  -121.11    38.73    2019  -0.260   0.026   0.139   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.09489
  -121.11    38.73    2020  -0.076   0.008   0.150   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.08152
  -121.11    38.73    2021  -0.037   0.004   0.180   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.14690
  -121.06    38.85    1979  -0.193   0.019   0.171   0.000  -0.002   0.000    0.000     0.000    0.000    0.000  -0.00512
  -121.06    38.85    1980  -0.332   0.033   0.149   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.15068
  -121.06    38.85    1981  -0.133   0.013   0.162   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04158
  -121.06    38.85    1982  -0.362   0.036   0.181   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.14485
  -121.06    38.85    1983  -0.350   0.035   0.156   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.15900
  -121.06    38.85    1984  -0.208   0.021   0.172   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.01594
  -121.06    38.85    1985  -0.184   0.018   0.180   0.151   0.000   0.000    0.000     0.000    0.000    0.000   0.16569
  -121.06    38.85    1986  -0.215   0.022   0.242   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.04645
  -121.06    38.85    1987  -0.093   0.010   0.221   0.000  -0.105   0.000    0.000     0.000    0.000    0.000   0.03312
  -121.06    38.85    1988  -0.162   0.017   0.205   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.05867
  -121.06    38.85    1989  -0.319   0.032   0.231   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05603
  -121.06    38.85    1990  -0.328   0.033   0.205   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.09008
  -121.06    38.85    1991  -0.208   0.021   0.214   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02615
  -121.06    38.85    1992  -0.129   0.013   0.222   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.10598
  -121.06    38.85    1993  -0.252   0.025   0.213   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01311
  -121.06    38.85    1994  -0.157   0.016   0.196   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05462
  -121.06    38.85    1995  -0.285   0.029   0.210   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.04742
  -121.06    38.85    1996  -0.247   0.025   0.214   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00838
  -121.06    38.85    1997  -0.177   0.018   0.197   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03712
  -121.06    38.85    1998  -0.342   0.034   0.190   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.11781
  -121.06    38.85    1999  -0.224   0.022   0.180   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.02131
  -121.06    38.85    2000  -0.230   0.023   0.225   0.289   0.000   0.000    0.000     0.000    0.000    0.000   0.30709
  -121.06    38.85    2001  -0.201   0.020   0.204   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02288
